«tacticExacts[_,,]»	def	Freyd/Exacts.lean	14	Lean.ParserDescr	`exacts [e₁, …, eₙ]` closes the first `n` goals with `e₁, …, eₙ` respectively.	14219394337461432394	52
Cat	ind	Freyd/S1_10.lean	9	Type z → Type (max z (w + 1))		17478010975779096984	0
Cat.Hom	def	Freyd/S1_10.lean	10	{𝒞 : Type z} → [self : Cat 𝒞] → 𝒞 → 𝒞 → Type w		3588217975935020853	7
Cat.id	def	Freyd/S1_10.lean	11	{𝒞 : Type z} → [self : Cat 𝒞] → (X : 𝒞) → Cat.Hom X X		369631221162607400	7
Cat.comp	def	Freyd/S1_10.lean	12	{𝒞 : Type z} → [self : Cat 𝒞] → {X Y Z : 𝒞} → Cat.Hom X Y → Cat.Hom Y Z → Cat.Hom X Z		513822501303750465	7
Cat.id_comp	thm	Freyd/S1_10.lean	13	∀ {𝒞 : Type z} [self : Cat 𝒞] {X Y : 𝒞} (f : Cat.Hom X Y), Cat.comp (Cat.id X) f = f		647584988	7
Cat.comp_id	thm	Freyd/S1_10.lean	14	∀ {𝒞 : Type z} [self : Cat 𝒞] {X Y : 𝒞} (f : Cat.Hom X Y), Cat.comp f (Cat.id Y) = f		4116139494	7
Cat.assoc	thm	Freyd/S1_10.lean	15	∀ {𝒞 : Type z} [self : Cat 𝒞] {W X Y Z : 𝒞} (f : Cat.Hom W X) (g : Cat.Hom X Y) (h : Cat.Hom Y Z), Cat.comp (Cat.comp f g) h = Cat.comp f (Cat.comp g h)		4165305597	7
«term_⟶_»	def	Freyd/S1_10.lean	23	Lean.TrailingParserDescr		15270228136512779986	37
«term_≫_»	def	Freyd/S1_10.lean	24	Lean.TrailingParserDescr		12992760929531885221	37
«term𝟙_»	def	Freyd/S1_10.lean	25	Lean.ParserDescr	The book's identity morphism `1_A`, with the object explicit for reliable elaboration.	13384288290789751663	32
left_unit_is_id	thm	Freyd/S1_13.lean	30	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X : 𝒞} (e : Cat.Hom X X), (∀ {Y : 𝒞} (f : Cat.Hom X Y), Cat.comp e f = f) → e = Cat.id X	§1.13: A morphism `e : X ⟶ X` that acts as a left unit on all morphisms out	3499424749	102
right_unit_is_id	thm	Freyd/S1_13.lean	39	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X : 𝒞} (e : Cat.Hom X X), (∀ {W : 𝒞} (f : Cat.Hom W X), Cat.comp f e = f) → e = Cat.id X	§1.13: A morphism `e : X ⟶ X` that acts as a right unit on all morphisms into	1135964129	106
IsIdentity	def	Freyd/S1_13.lean	48	{𝒞 : Type u} → [inst : Cat 𝒞] → {X : 𝒞} → Cat.Hom X X → Prop	§1.13: The six-way equivalence, stated as `IsIdentity`.	17858078681625328363	28
isIdentity_iff_left_unit	thm	Freyd/S1_13.lean	56	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X : 𝒞} (e : Cat.Hom X X), IsIdentity e ↔ ∀ {Y : 𝒞} (f : Cat.Hom X Y), Cat.comp e f = f		3959567076	116
isIdentity_iff_right_unit	thm	Freyd/S1_13.lean	62	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X : 𝒞} (e : Cat.Hom X X), IsIdentity e ↔ ∀ {W : 𝒞} (f : Cat.Hom W X), Cat.comp f e = f		3412283806	118
Monoid'	ind	Freyd/S1_14.lean	24	Type u → Type u	§1.14 A monoid: a set with a unit and an associative binary operation.	2848570388588425739	0
Monoid'.one	def	Freyd/S1_14.lean	26	{M : Type u} → [self : Monoid' M] → M		17999670185006331319	7
Monoid'.mul	def	Freyd/S1_14.lean	27	{M : Type u} → [self : Monoid' M] → M → M → M		13217135135210762961	7
Monoid'.one_mul	thm	Freyd/S1_14.lean	28	∀ {M : Type u} [self : Monoid' M] (x : M), Monoid'.mul Monoid'.one x = x		347691193	7
Monoid'.mul_one	thm	Freyd/S1_14.lean	29	∀ {M : Type u} [self : Monoid' M] (x : M), Monoid'.mul x Monoid'.one = x		18027169	7
Monoid'.mul_assoc	thm	Freyd/S1_14.lean	30	∀ {M : Type u} [self : Monoid' M] (x y z : M), Monoid'.mul (Monoid'.mul x y) z = Monoid'.mul x (Monoid'.mul y z)		1723445189	7
monoidToCat	def	Freyd/S1_14.lean	32	(M : Type u) → [mn : Monoid' M] → Cat PUnit	§1.14 Every monoid gives a one-object category (unique object = `PUnit`).	8230836823750194568	66
catToMonoid'	def	Freyd/S1_14.lean	41	{𝒞 : Type u} → [C : Cat 𝒞] → (star : 𝒞) → Monoid' (Cat.Hom star star)	§1.14 A one-object category is a monoid (take `Hom star star` as carrier).	15293476689669237913	73
discreteCat	def	Freyd/S1_14.lean	53	(α : Type u) → Cat α	§1.15 Any type `α` becomes a discrete category: the only morphism `a ⟶ b`	15719027569260166294	96
IsDiscreteCategory	def	Freyd/S1_14.lean	63	{𝒞 : Type u} → [Cat 𝒞] → Prop	§1.15 A category is DISCRETE if `Hom a b` is non-empty only when `a = b`.	17933674032747237528	22
left_inv_eq_right_inv	thm	Freyd/S1_14.lean	75	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y} {y : Cat.Hom Y X}, Cat.comp y f = Cat.id Y → ∀ {z : Cat.Hom Y X}, Cat.comp f z = Cat.id X → y = z	§1.17 Any left-inverse equals any right-inverse:	2684670339	239
isIso_iff_leftInv_and_rightInv	thm	Freyd/S1_14.lean	86	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} (f : Cat.Hom X Y), IsIso f ↔ LeftInvertible f ∧ RightInvertible f	§1.17 `f` is an isomorphism iff it is both left- and right-invertible.	2942747647	360
unique_left_inv	thm	Freyd/S1_14.lean	95	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∀ {y z : Cat.Hom Y X}, Cat.comp y f = Cat.id Y → Cat.comp z f = Cat.id Y → y = z	§1.17 An isomorphism has a UNIQUE left-inverse.	283949066	227
unique_right_inv	thm	Freyd/S1_14.lean	101	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∀ {y z : Cat.Hom Y X}, Cat.comp f y = Cat.id X → Cat.comp f z = Cat.id X → y = z	§1.17 An isomorphism has a UNIQUE right-inverse.	1848659789	225
isIso_inv	thm	Freyd/S1_14.lean	107	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∃ g, IsIso g	§1.17 The INVERSE of an isomorphism is an isomorphism (and its unique inverse is f):	69587737	182
Groupoid	ind	Freyd/S1_14.lean	116	Type u → Type (max u (v + 1))	§1.17 A GROUPOID is a category in which every morphism is an isomorphism.	9183558934510674885	0
Groupoid.toCat	instance	Freyd/S1_14.lean	117	{𝒢 : Type u} → [self : Groupoid 𝒢] → Cat 𝒢		15399899771615851587	7
Groupoid.iso_all	thm	Freyd/S1_14.lean	118	∀ {𝒢 : Type u} [self : Groupoid 𝒢] {X Y : 𝒢} (f : Cat.Hom X Y), ∃ g, Cat.comp f g = Cat.id X ∧ Cat.comp g f = Cat.id Y		2902824148	7
Group'	ind	Freyd/S1_14.lean	121	Type u → Type u	§1.17 A GROUP is a one-object groupoid: a groupoid with a single object.	15930389788979041033	0
Group'.toMonoid'	instance	Freyd/S1_14.lean	122	{G : Type u} → [self : Group' G] → Monoid' G		13259592554023589597	7
Group'.inv	def	Freyd/S1_14.lean	123	{G : Type u} → [self : Group' G] → G → G		4297430104119974847	7
Group'.mul_inv	thm	Freyd/S1_14.lean	124	∀ {G : Type u} [self : Group' G] (x : G), Monoid'.mul x (Group'.inv x) = Monoid'.one		1886699619	7
Group'.inv_mul	thm	Freyd/S1_14.lean	125	∀ {G : Type u} [self : Group' G] (x : G), Monoid'.mul (Group'.inv x) x = Monoid'.one		3913509573	7
group'ToGroupoid	def	Freyd/S1_14.lean	127	(G : Type u) → [gr : Group' G] → Groupoid PUnit	A `Group'` gives a one-object `Groupoid`.	12611708620199632734	58
ContraFunctor	ind	Freyd/S1_14.lean	141	{C : Type u₁} → [Cat C] → {D : Type u₂} → [Cat D] → (C → D) → Type (max u₁ v)	§1.182 A CONTRAVARIANT FUNCTOR `F : C → D` reverses direction and swaps	8680680673176443634	0
ContraFunctor.map	def	Freyd/S1_14.lean	144	{C : Type u₁} → {inst : Cat C} → {D : Type u₂} → {inst_1 : Cat D} → {F : C → D} → [self : ContraFunctor F] → {X Y : C} → Cat.Hom X Y → Cat.Hom (F Y) (F X)		10236340632606536376	25
ContraFunctor.map_id	thm	Freyd/S1_14.lean	145	∀ {C : Type u₁} {inst : Cat C} {D : Type u₂} {inst_1 : Cat D} {F : C → D} [self : ContraFunctor F] (X : C), ContraFunctor.map (Cat.id X) = Cat.id (F X)		677328381	25
