jaccard	min_nodes	left	left_module	right	right_module	class
1.000000	28	Freyd.UF.«term_∩ᵤ_»	Freyd.S1_646_Ultrafilter	Freyd.Alg.«term_\_»	Freyd.S2_30	notation/parser
1.000000	28	Freyd.UF.«term_∩ᵤ_»	Freyd.S1_646_Ultrafilter	Freyd.Sub.«term_⊆ₛ_»	Freyd.S1_543_WellOrdering	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_⊑_»	Freyd.S2_10	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.UF.«term_∩ᵤ_»	Freyd.S1_646_Ultrafilter	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_/_»	Freyd.S2_30	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_\_»	Freyd.S2_30	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_∩_»	Freyd.S2_10	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_/ₛ_»	Freyd.S2_30	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Alg.«term_∪_»	Freyd.S2_20	notation/parser
1.000000	28	Freyd.Alg.«term_∪ᵤ_»	Freyd.S2_22	Freyd.Sub.«term_⊆ₛ_»	Freyd.S1_543_WellOrdering	notation/parser
1.000000	28	Freyd.Alg.«term_⊑_»	Freyd.S2_10	Freyd.UF.«term_∩ᵤ_»	Freyd.S1_646_Ultrafilter	notation/parser
1.000000	28	Freyd.Alg.«term_⊑_»	Freyd.S2_10	Freyd.Alg.«term_/_»	Freyd.S2_30	notation/parser
