Freyd.Alg.PElem.join_ln_ln_ne	Freyd.Alg.PElem.join_ln_left_top_of_not_le	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_157_ProjectivePlane	Freyd.S2_157e_HornCenter
Freyd.OPred.le_refl	Freyd.Frame.le_of_eq	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S1_723_Locale	Freyd.S1_723_Locale
Freyd.Topology.Opens.le_top	Freyd.Topology.Opens.le_refl	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S1_723_Locale	Freyd.S1_723_Locale
Freyd.hl_thin	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S1_72	Freyd.S1_33
Freyd.eq_sharpHom	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_168_ValuedSetsTabular	Freyd.S1_33
Freyd.eq_sharpHom	Freyd.Alg.principalDowndeal_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_168_ValuedSetsTabular	Freyd.S2_20
Freyd.eq_sharpHom	Freyd.yoneda_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_168_ValuedSetsTabular	Freyd.S1_44
Freyd.eq_sharpHom	Freyd.Alg.embHom_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_168_ValuedSetsTabular	Freyd.S2_16
Freyd.proset_hom_subsingleton	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S1_33	Freyd.S1_33
Freyd.Alg.b_recip_recip	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_155_BiEntire	Freyd.S1_33
Freyd.Alg.b_recip_recip	Freyd.yoneda_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_155_BiEntire	Freyd.S1_44
Freyd.Alg.embEq_id	Freyd.Rep646.trep_separatesMaps	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_16c	Freyd.S1_646_Representation
Freyd.Alg.embEq_id	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_16c	Freyd.S1_33
Freyd.Alg.embEq_id	Freyd.Alg.globalCompletionEmbed_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_16c	Freyd.S2_20
Freyd.Alg.embEq_id	Freyd.Alg.principalDowndeal_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_16c	Freyd.S2_20
Freyd.Alg.embEq_id	Freyd.Alg.embHom_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_16c	Freyd.S2_16
Freyd.Rcat.isMor_finite	Freyd.Pcat.IsPMor.isMor	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S1_572_Recursive	Freyd.S1_573_PrimRec
Freyd.Alg.relMap_Phi_Psi	Freyd.contraCayley_faithful	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_147_MapCat	Freyd.S1_33
Freyd.Alg.relMap_Phi_Psi	Freyd.Alg.principalDowndeal_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_147_MapCat	Freyd.S2_20
Freyd.Alg.relMap_Phi_Psi	Freyd.Alg.embHom_injective	theorem specialization; 0 instance(s), 0 hypothesis(es), 1 solveByElim	Freyd.S2_147_MapCat	Freyd.S2_16
